username,repo_name,stars,repo_url
mrdoob,three.js,106000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,28800,https://github.com/pmndrs/react-three-fiber
FreeCAD,FreeCAD,24600,https://github.com/FreeCAD/FreeCAD
BabylonJS,Babylon.js,24100,https://github.com/BabylonJS/Babylon.js
libgdx,libgdx,24000,https://github.com/libgdx/libgdx
ssloy,tinyrenderer,21800,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18700,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,17000,https://github.com/aframevr/aframe
blender,blender,15100,https://github.com/blender/blender
4ian,GDevelop,14100,https://github.com/4ian/GDevelop
CesiumGS,cesium,13700,https://github.com/CesiumGS/cesium
isl-org,Open3D,12300,https://github.com/isl-org/Open3D
MonoGame,MonoGame,12100,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,11600,https://github.com/mapbox/mapbox-gl-js
DavidHDev,react-bits,11500,https://github.com/DavidHDev/react-bits
metafizzy,zdog,10500,https://github.com/metafizzy/zdog
nerfstudio-project,nerfstudio,10200,https://github.com/nerfstudio-project/nerfstudio
timzhang642,3D-Machine-Learning,10000,https://github.com/timzhang642/3D-Machine-Learning
Tencent,Hunyuan3D-2,9700,https://github.com/Tencent/Hunyuan3D-2
microsoft,TRELLIS,9400,https://github.com/microsoft/TRELLIS
