username,repo_name,stars,repo_url
public-apis,public-apis,339000,https://github.com/public-apis/public-apis
neovim,neovim,89500,https://github.com/neovim/neovim
fastapi,fastapi,84600,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,71600,https://github.com/hoppscotch/hoppscotch
strapi,strapi,66600,https://github.com/strapi/strapi
ocornut,imgui,65400,https://github.com/ocornut/imgui
meilisearch,meilisearch,51300,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37800,https://github.com/QuivrHQ/quivr
trpc,trpc,37200,https://github.com/trpc/trpc
Kong,insomnia,36300,https://github.com/Kong/insomnia
slatedocs,slate,36100,https://github.com/slatedocs/slate
ccxt,ccxt,36100,https://github.com/ccxt/ccxt
httpie,cli,35600,https://github.com/httpie/cli
mudler,LocalAI,32600,https://github.com/mudler/LocalAI
hasura,graphql-engine,31500,https://github.com/hasura/graphql-engine
directus,directus,30500,https://github.com/directus/directus
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
chatanywhere,GPT_API_free,29700,https://github.com/chatanywhere/GPT_API_free
encode,django-rest-framework,29100,https://github.com/encode/django-rest-framework
YMFE,yapi,27600,https://github.com/YMFE/yapi
