username,repo_name,stars,repo_url
jwasham,coding-interview-university,317000,https://github.com/jwasham/coding-interview-university
TheAlgorithms,Python,200000,https://github.com/TheAlgorithms/Python
trekhleb,javascript-algorithms,191000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,180000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,126000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,112000,https://github.com/krahets/hello-algo
kdn251,interviews,64099,https://github.com/kdn251/interviews
TheAlgorithms,Java,61600,https://github.com/TheAlgorithms/Java
youngyangyang04,leetcode-master,56100,https://github.com/youngyangyang04/leetcode-master
azl397985856,leetcode,55300,https://github.com/azl397985856/leetcode
huihut,interview,36100,https://github.com/huihut/interview
halfrost,LeetCode-Go,33500,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,33200,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,31800,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,30300,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
AtsushiSakai,PythonRobotics,25000,https://github.com/AtsushiSakai/PythonRobotics
keon,algorithms,24500,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,24000,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,23500,https://github.com/trekhleb/homemade-machine-learning
