username,repo_name,stars,repo_url
bregman-arie,devops-exercises,75900,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,72300,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,58900,https://github.com/localstack/localstack
serverless,serverless,46700,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,28200,https://github.com/donnemartin/data-science-ipython-notebooks
danny-avila,LibreChat,25500,https://github.com/danny-avila/LibreChat
pulumi,pulumi,23000,https://github.com/pulumi/pulumi
getsops,sops,18500,https://github.com/getsops/sops
kubernetes-sigs,kubespray,17100,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,16000,https://github.com/aws/aws-cli
milanm,DevOps-Roadmap,15800,https://github.com/milanm/DevOps-Roadmap
ramitsurana,awesome-kubernetes,15400,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,14000,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,13600,https://github.com/GoogleCloudPlatform/terraformer
donnemartin,awesome-aws,12900,https://github.com/donnemartin/awesome-aws
aws,aws-cdk,12200,https://github.com/aws/aws-cdk
prowler-cloud,prowler,11600,https://github.com/prowler-cloud/prowler
infracost,infracost,11500,https://github.com/infracost/infracost
apereo,cas,11100,https://github.com/apereo/cas
aws,chalice,10900,https://github.com/aws/chalice
