username,repo_name,stars,repo_url
amphp,amp,4300,https://github.com/amphp/amp
danog,MadelineProto,3100,https://github.com/danog/MadelineProto
amphp,parallel,814,https://github.com/amphp/parallel
unreal4u,telegram-api,796,https://github.com/unreal4u/telegram-api
amphp,http-client,716,https://github.com/amphp/http-client
amphp,byte-stream,380,https://github.com/amphp/byte-stream
amphp,mysql,372,https://github.com/amphp/mysql
php-service-bus,service-bus,349,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,273,https://github.com/amphp/parallel-functions
xtrime-ru,TelegramRSS,264,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,248,https://github.com/amphp/socket
amphp,process,240,https://github.com/amphp/process
amphp,dns,174,https://github.com/amphp/dns
amphp,sync,173,https://github.com/amphp/sync
amphp,redis,163,https://github.com/amphp/redis
amphp,websocket-client,154,https://github.com/amphp/websocket-client
amphp,serialization,121,https://github.com/amphp/serialization
amphp,websocket-server,120,https://github.com/amphp/websocket-server
kelunik,acme,120,https://github.com/kelunik/acme
amphp,cache,111,https://github.com/amphp/cache
