username,repo_name,stars,repo_url
flutter,flutter,170000,https://github.com/flutter/flutter
Genymobile,scrcpy,122000,https://github.com/Genymobile/scrcpy
facebook,react-native,122000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,114000,https://github.com/justjavac/free-programming-books-zh_CN
Hack-with-Github,Awesome-Hacking,92400,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,55800,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,55300,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,52500,https://github.com/wasabeef/awesome-android-ui
google,material-design-icons,51500,https://github.com/google/material-design-icons
laurent22,joplin,49300,https://github.com/laurent22/joplin
appwrite,appwrite,48600,https://github.com/appwrite/appwrite
square,okhttp,46400,https://github.com/square/okhttp
android,architecture-samples,45000,https://github.com/android/architecture-samples
skylot,jadx,43900,https://github.com/skylot/jadx
square,retrofit,43500,https://github.com/square/retrofit
termux,termux-app,41300,https://github.com/termux/termux-app
dcloudio,uni-app,40700,https://github.com/dcloudio/uni-app
2dust,v2rayNG,40700,https://github.com/2dust/v2rayNG
KRTirtho,spotube,40400,https://github.com/KRTirtho/spotube
expo,expo,40200,https://github.com/expo/expo
