username,repo_name,stars,repo_url
sindresorhus,awesome,360000,https://github.com/sindresorhus/awesome
vinta,awesome-python,243000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,228000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,169000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,144000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,109000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,93100,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,92400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,82900,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,74800,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,73900,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,68000,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,63600,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,61900,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,60900,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,60500,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,55800,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,52500,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,50700,https://github.com/tiimgreen/github-cheat-sheet
rust-unofficial,awesome-rust,50300,https://github.com/rust-unofficial/awesome-rust
