username,repo_name,stars,repo_url
microsoft,generative-ai-for-beginners,83400,https://github.com/microsoft/generative-ai-for-beginners
bregman-arie,devops-exercises,75900,https://github.com/bregman-arie/devops-exercises
danny-avila,LibreChat,25500,https://github.com/danny-avila/LibreChat
pulumi,pulumi,23000,https://github.com/pulumi/pulumi
getsops,sops,18500,https://github.com/getsops/sops
milanm,DevOps-Roadmap,15800,https://github.com/milanm/DevOps-Roadmap
ramitsurana,awesome-kubernetes,15400,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14400,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,14000,https://github.com/caprover/caprover
prowler-cloud,prowler,11600,https://github.com/prowler-cloud/prowler
infracost,infracost,11500,https://github.com/infracost/infracost
budtmo,docker-android,10800,https://github.com/budtmo/docker-android
microsoft,computervision-recipes,9700,https://github.com/microsoft/computervision-recipes
google,go-cloud,9700,https://github.com/google/go-cloud
Netflix,metaflow,8800,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,8400,https://github.com/YSGStudyHards/DotNetGuide
microsoft,azuredatastudio,7700,https://github.com/microsoft/azuredatastudio
bridgecrewio,checkov,7500,https://github.com/bridgecrewio/checkov
midwayjs,midway,7500,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,7400,https://github.com/thangchung/clean-code-dotnet
