username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,156000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,84500,https://github.com/nvm-sh/nvm
junegunn,fzf,70100,https://github.com/junegunn/fzf
starship,starship,48700,https://github.com/starship/starship
google,zx,44100,https://github.com/google/zx
acmesh-official,acme.sh,42600,https://github.com/acmesh-official/acme.sh
LeCoupa,awesome-cheatsheets,42500,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,38200,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,37400,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,34300,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,33300,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30800,https://github.com/mathiasbynens/dotfiles
ajeetdsouza,zoxide,26400,https://github.com/ajeetdsouza/zoxide
kingToolbox,WindTerm,26300,https://github.com/kingToolbox/WindTerm
withfig,autocomplete,24900,https://github.com/withfig/autocomplete
atuinsh,atuin,23900,https://github.com/atuinsh/atuin
asdf-vm,asdf,23500,https://github.com/asdf-vm/asdf
warpdotdev,Warp,23400,https://github.com/warpdotdev/Warp
dylanaraps,neofetch,22900,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,19800,https://github.com/Nyr/openvpn-install
