username,repo_name,stars,repo_url
ccxt,ccxt,36100,https://github.com/ccxt/ccxt
feder-cr,Jobs_Applier_AI_Agent_AIHawk,28100,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-telegram-bot,python-telegram-bot,27500,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,26000,https://github.com/discordjs/discord.js
wechaty,wechaty,21500,https://github.com/wechaty/wechaty
RasaHQ,rasa,20100,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,17300,https://github.com/InstaPy/InstaPy
pedroslopez,whatsapp-web.js,16800,https://github.com/pedroslopez/whatsapp-web.js
hubotio,hubot,16700,https://github.com/hubotio/hubot
leon-ai,leon,16200,https://github.com/leon-ai/leon
Rapptz,discord.py,15400,https://github.com/Rapptz/discord.py
lss233,kirara-ai,15200,https://github.com/lss233/kirara-ai
tgbot-collection,YYeTsBot,15200,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14300,https://github.com/gunthercox/ChatterBot
hummingbot,hummingbot,12600,https://github.com/hummingbot/hummingbot
howdyai,botkit,11600,https://github.com/howdyai/botkit
RockChinQ,LangBot,11000,https://github.com/RockChinQ/LangBot
Mrs4s,go-cqhttp,10500,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10200,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8800,https://github.com/yagop/node-telegram-bot-api
