username,repo_name,stars,repo_url
Genymobile,scrcpy,122000,https://github.com/Genymobile/scrcpy
neovim,neovim,89500,https://github.com/neovim/neovim
obsproject,obs-studio,64200,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,63600,https://github.com/fffaraz/awesome-cpp
git,git,54800,https://github.com/git/git
FFmpeg,FFmpeg,49800,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,43900,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,38100,https://github.com/vim/vim
curl,curl,37900,https://github.com/curl/curl
huihut,interview,36100,https://github.com/huihut/interview
mpv-player,mpv,30600,https://github.com/mpv-player/mpv
kovidgoyal,kitty,27400,https://github.com/kovidgoyal/kitty
ossrs,srs,26900,https://github.com/ossrs/srs
ggreer,the_silver_searcher,26500,https://github.com/ggreer/the_silver_searcher
raysan5,raylib,26300,https://github.com/raysan5/raylib
microsoft,vcpkg,24700,https://github.com/microsoft/vcpkg
google,flatbuffers,24200,https://github.com/google/flatbuffers
hashcat,hashcat,22600,https://github.com/hashcat/hashcat
ruby,ruby,22600,https://github.com/ruby/ruby
forthespada,CS-Books,22600,https://github.com/forthespada/CS-Books
