username,repo_name,stars,repo_url
jaywcjlove,linux-command,33300,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,28000,https://github.com/refined-github/refined-github
openai-translator,openai-translator,24400,https://github.com/openai-translator/openai-translator
darkreader,darkreader,20700,https://github.com/darkreader/darkreader
dailydotdev,daily,19400,https://github.com/dailydotdev/daily
AutomaApp,automa,17600,https://github.com/AutomaApp/automa
gildas-lormeau,SingleFile,17600,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,15300,https://github.com/immersive-translate/immersive-translate
checkly,headless-recorder,15100,https://github.com/checkly/headless-recorder
unbug,codelf,14200,https://github.com/unbug/codelf
alyssaxuu,screenity,14100,https://github.com/alyssaxuu/screenity
wong2,chatgpt-google-extension,13200,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,13100,https://github.com/Anarios/return-youtube-dislike
xifangczy,cat-catch,12800,https://github.com/xifangczy/cat-catch
crimx,ext-saladict,12500,https://github.com/crimx/ext-saladict
PlasmoHQ,plasmo,11700,https://github.com/PlasmoHQ/plasmo
listen1,listen1_chrome_extension,11700,https://github.com/listen1/listen1_chrome_extension
ajayyy,SponsorBlock,11300,https://github.com/ajayyy/SponsorBlock
josStorer,chatGPTBox,10500,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,10300,https://github.com/chathub-dev/chathub
