username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,178000,https://github.com/ohmyzsh/ohmyzsh
n8n-io,n8n,93100,https://github.com/n8n-io/n8n
junegunn,fzf,70100,https://github.com/junegunn/fzf
sherlock-project,sherlock,64400,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,60100,https://github.com/jesseduffield/lazygit
All-Hands-AI,OpenHands,54200,https://github.com/All-Hands-AI/OpenHands
sharkdp,bat,52500,https://github.com/sharkdp/bat
BurntSushi,ripgrep,52300,https://github.com/BurntSushi/ripgrep
wagoodman,dive,50700,https://github.com/wagoodman/dive
google,zx,44100,https://github.com/google/zx
ultralytics,ultralytics,40800,https://github.com/ultralytics/ultralytics
spf13,cobra,40400,https://github.com/spf13/cobra
chubin,cheat.sh,39400,https://github.com/chubin/cheat.sh
cli,cli,39100,https://github.com/cli/cli
sharkdp,fd,37900,https://github.com/sharkdp/fd
httpie,cli,35600,https://github.com/httpie/cli
alebcay,awesome-shell,34300,https://github.com/alebcay/awesome-shell
Aider-AI,aider,32900,https://github.com/Aider-AI/aider
ibraheemdev,modern-unix,31900,https://github.com/ibraheemdev/modern-unix
charmbracelet,bubbletea,31500,https://github.com/charmbracelet/bubbletea
